,订单编码,订单日期,客户编码,所在区域,所在省份,所在地市,商品编号,订购数量,订购单价,金额,年份,月份,商品大类,商品小类
9601,D30267,2019-07-26,S18611,东区,江苏,宿迁市,X013,452,164.0,74128.0,2019,7,护肤品,面膜
9602,D22812,2019-04-09,S17593,东区,浙江,宁波市,X069,885,251.0,222135.0,2019,4,护肤品,防晒霜
9603,D21916,2019-06-18,S18552,东区,江苏,苏州市,X025,1849,102.0,188598.0,2019,6,护肤品,眼霜
9604,D21798,2019-02-08,S15879,东区,浙江,杭州市,X014,1185,86.0,101910.0,2019,2,护肤品,面膜
9605,D32048,2019-09-10,S17729,东区,上海,上海市,X022,459,158.0,72522.0,2019,9,护肤品,眼霜
9606,D23853,2019-04-12,S12446,东区,江苏,南通市,X045,1070,205.0,219350.0,2019,4,护肤品,洁面乳
9607,D32341,2019-06-26,S12638,南区,福建,漳州市,X080,435,72.0,31320.0,2019,6,彩妆,口红
9608,D21712,2019-04-14,S11602,东区,浙江,金华市,X047,1310,192.0,251520.0,2019,4,护肤品,爽肤水
9609,D25335,2019-08-18,S22350,南区,福建,泉州市,X007,411,213.0,87543.0,2019,8,护肤品,面膜
9610,D26417,2019-02-10,S14319,北区,山东,临沂市,X031,1009,86.0,86774.0,2019,2,护肤品,面霜
9611,D30356,2019-09-05,S17515,西区,陕西,西安市,X066,738,113.0,83394.0,2019,9,护肤品,隔离霜
9612,D33208,2019-08-19,S12411,西区,云南,文山壮族苗族自治州,X075,714,126.0,89964.0,2019,8,护肤品,防晒霜
9613,D27219,2019-04-22,S14376,西区,新疆,哈密地区,X029,216,154.0,33264.0,2019,4,护肤品,面霜
9614,D27108,2019-09-04,S10427,东区,安徽,合肥市,X091,1269,214.0,271566.0,2019,9,彩妆,粉底
9615,D29530,2019-04-18,S15515,东区,上海,上海市,X080,621,72.0,44712.0,2019,4,彩妆,口红
9616,D32991,2019-06-09,S20596,东区,江苏,苏州市,X054,1586,83.0,131638.0,2019,6,护肤品,爽肤水
9617,D28256,2019-03-25,S11708,南区,广东,汕头市,X017,1877,213.0,399801.0,2019,3,护肤品,眼霜
9618,D32030,2019-06-28,S13802,东区,江苏,盐城市,X036,1116,99.0,110484.0,2019,6,护肤品,面霜
9619,D25540,2019-06-23,S16915,北区,河北,廊坊市,X034,908,182.0,165256.0,2019,6,护肤品,面霜
9620,D24692,2019-05-13,S22258,西区,四川,乐山市,X013,1051,164.0,172364.0,2019,5,护肤品,面膜
9621,D31842,2019-06-06,S19579,东区,浙江,金华市,X055,1124,222.0,249528.0,2019,6,护肤品,爽肤水
9622,D25086,2019-06-18,S15649,南区,湖南,衡阳市,X068,983,225.0,221175.0,2019,6,护肤品,防晒霜
9623,D22936,2019-07-14,S13862,南区,广西,桂林市,X078,39,116.0,4524.0,2019,7,彩妆,口红
9624,D21746,2019-08-16,S21405,南区,广东,中山市,X008,381,119.0,45339.0,2019,8,护肤品,面膜
9625,D24912,2019-09-08,S13627,南区,广西,北海市,X055,816,222.0,181152.0,2019,9,护肤品,爽肤水
9626,D26933,2019-09-23,S20614,南区,广西,来宾市,X042,756,159.0,120204.0,2019,9,护肤品,洁面乳
9627,D23761,2019-01-14,S10098,南区,广西,柳州市,X087,1381,86.0,118766.0,2019,1,彩妆,口红
9628,D32516,2019-06-30,S18720,西区,贵州,贵阳市,X015,1567,151.0,236617.0,2019,6,护肤品,面膜
9629,D21121,2019-06-17,S22773,东区,江苏,苏州市,X021,2109,59.0,124431.0,2019,6,护肤品,眼霜
9630,D34165,2019-04-08,S22146,北区,河北,沧州市,X030,955,237.0,226335.0,2019,4,护肤品,面霜
9631,D26184,2019-08-25,S22188,东区,上海,上海市,X017,2819,213.0,600447.0,2019,8,护肤品,眼霜
9632,D28232,2019-09-08,S17207,东区,浙江,杭州市,X053,1041,104.0,108264.0,2019,9,护肤品,爽肤水
9633,D24610,2019-07-04,S20185,北区,黑龙江,佳木斯市,X026,381,101.0,38481.0,2019,7,护肤品,面霜
9634,D30510,2019-08-29,S22984,北区,山东,威海市,X013,1286,164.0,210904.0,2019,8,护肤品,面膜
9635,D21644,2019-08-18,S10423,北区,黑龙江,黑河市,X026,199,101.0,20099.0,2019,8,护肤品,面霜
9636,D34245,2019-06-05,S17651,南区,广东,佛山市,X038,1296,102.0,132192.0,2019,6,护肤品,面霜
9637,D28149,2019-06-05,S11024,西区,四川,成都市,X023,1249,235.0,293515.0,2019,6,护肤品,眼霜
9638,D24215,2019-07-07,S14911,东区,江苏,泰州市,X071,1191,253.0,301323.0,2019,7,护肤品,防晒霜
9639,D25011,2019-09-02,S11460,东区,安徽,宿州市,X047,478,192.0,91776.0,2019,9,护肤品,爽肤水
9640,D30153,2019-09-20,S10286,南区,福建,莆田市,X014,936,86.0,80496.0,2019,9,护肤品,面膜
9641,D26219,2019-06-14,S10430,北区,河北,保定市,X104,876,185.0,162060.0,2019,6,彩妆,睫毛膏
9642,D25176,2019-07-23,S12163,南区,广西,桂林市,X011,447,226.0,101022.0,2019,7,护肤品,面膜
9643,D32893,2019-09-07,S22289,北区,河北,唐山市,X037,1226,195.0,239070.0,2019,9,护肤品,面霜
9644,D22695,2019-08-26,S19238,东区,浙江,杭州市,X002,400,141.0,56400.0,2019,8,护肤品,面膜
9645,D21213,2019-02-23,S21325,西区,云南,昆明市,X085,747,233.0,174051.0,2019,2,彩妆,口红
9646,D30295,2019-05-18,S19194,南区,广东,肇庆市,X032,27,158.0,4266.0,2019,5,护肤品,面霜
9647,D26291,2019-09-19,S15116,南区,广东,清远市,X071,532,253.0,134596.0,2019,9,护肤品,防晒霜
9648,D29800,2019-05-30,S13166,北区,山东,威海市,X062,683,239.0,163237.0,2019,5,护肤品,隔离霜
9649,D23916,2019-08-31,S17471,北区,吉林,长春市,X072,843,62.0,52266.0,2019,8,护肤品,防晒霜
9650,D21692,2019-06-17,S21503,南区,广西,钦州市,X059,1149,56.0,64344.0,2019,6,护肤品,隔离霜
9651,D27932,2019-06-22,S17150,南区,江西,景德镇市,X009,702,92.0,64584.0,2019,6,护肤品,面膜
9652,D25179,2019-02-07,S12608,东区,湖北,十堰市,X027,1113,164.0,182532.0,2019,2,护肤品,面霜
9653,D32629,2019-06-05,S17973,西区,重庆,重庆市,X058,838,239.0,200282.0,2019,6,护肤品,爽肤水
9654,D26947,2019-04-26,S18810,北区,黑龙江,齐齐哈尔市,X049,477,226.0,107802.0,2019,4,护肤品,爽肤水
9655,D26392,2019-07-30,S13106,北区,山东,青岛市,X036,924,99.0,91476.0,2019,7,护肤品,面霜
9656,D25464,2019-07-12,S19705,东区,江苏,泰州市,X047,38,192.0,7296.0,2019,7,护肤品,爽肤水
9657,D23005,2019-05-18,S14503,东区,江苏,常州市,X089,568,104.0,59072.0,2019,5,彩妆,粉底
9658,D27625,2019-08-11,S16477,北区,河北,保定市,X091,523,214.0,111922.0,2019,8,彩妆,粉底
9659,D24960,2019-04-15,S11581,东区,江苏,南京市,X051,555,203.0,112665.0,2019,4,护肤品,爽肤水
9660,D30201,2019-07-27,S17953,北区,河北,秦皇岛市,X020,1055,100.0,105500.0,2019,7,护肤品,眼霜
9661,D25777,2019-08-06,S11609,南区,江西,南昌市,X042,1795,159.0,285405.0,2019,8,护肤品,洁面乳
9662,D33107,2019-05-15,S20363,西区,重庆,重庆市,X064,1293,150.0,193950.0,2019,5,护肤品,隔离霜
9663,D21679,2019-07-08,S10302,东区,上海,上海市,X057,1057,245.0,258965.0,2019,7,护肤品,爽肤水
9664,D25552,2019-04-25,S19039,南区,江西,鹰潭市,X049,1568,226.0,354368.0,2019,4,护肤品,爽肤水
9665,D23863,2019-01-16,S10865,北区,内蒙古,呼和浩特市,X044,2569,174.0,447006.0,2019,1,护肤品,洁面乳
9666,D28287,2019-08-19,S22399,南区,湖南,长沙市,X078,1055,116.0,122380.0,2019,8,彩妆,口红
9667,D23943,2019-04-21,S11381,北区,辽宁,锦州市,X038,1179,102.0,120258.0,2019,4,护肤品,面霜
9668,D28626,2019-05-24,S22188,东区,上海,上海市,X110,299,204.0,60996.0,2019,5,彩妆,睫毛膏
9669,D30737,2019-05-14,S17044,东区,江苏,扬州市,X057,860,245.0,210700.0,2019,5,护肤品,爽肤水
9670,D26678,2019-09-07,S11871,西区,云南,昆明市,X026,731,101.0,73831.0,2019,9,护肤品,面霜
9671,D28206,2019-01-10,S13568,东区,江苏,扬州市,X075,908,126.0,114408.0,2019,1,护肤品,防晒霜
9672,D29992,2019-07-08,S11333,西区,重庆,重庆市,X076,739,115.0,84985.0,2019,7,护肤品,防晒霜
9673,D23400,2019-09-10,S12471,东区,安徽,合肥市,X043,1179,186.0,219294.0,2019,9,护肤品,洁面乳
9674,D22612,2019-07-04,S11812,北区,天津,天津市,X024,464,235.0,109040.0,2019,7,护肤品,眼霜
9675,D22338,2019-09-26,S22269,西区,四川,泸州市,X036,645,99.0,63855.0,2019,9,护肤品,面霜
9676,D21298,2019-07-15,S13008,东区,浙江,丽水市,X051,435,203.0,88305.0,2019,7,护肤品,爽肤水
9677,D28639,2019-07-29,S13119,东区,江苏,苏州市,X009,1024,92.0,94208.0,2019,7,护肤品,面膜
9678,D26948,2019-03-12,S17028,南区,湖南,株洲市,X014,1042,86.0,89612.0,2019,3,护肤品,面膜
9679,D29602,2019-04-15,S11690,南区,广东,深圳市,X030,586,237.0,138882.0,2019,4,护肤品,面霜
9680,D32774,2019-06-14,S16884,北区,辽宁,丹东市,X035,748,76.0,56848.0,2019,6,护肤品,面霜
9681,D21269,2019-04-09,S10462,西区,新疆,新疆省直辖,X065,1390,140.0,194600.0,2019,4,护肤品,隔离霜
9682,D28642,2019-08-08,S15407,南区,广东,深圳市,X024,1457,235.0,342395.0,2019,8,护肤品,眼霜
9683,D30588,2019-06-15,S19375,东区,江苏,苏州市,X034,746,182.0,135772.0,2019,6,护肤品,面霜
9684,D28820,2019-05-03,S11401,南区,湖南,怀化市,X024,1040,235.0,244400.0,2019,5,护肤品,眼霜
9685,D27621,2019-01-09,S16184,南区,广西,北海市,X050,145,143.0,20735.0,2019,1,护肤品,爽肤水
9686,D29666,2019-06-27,S16330,南区,广西,梧州市,X004,878,211.0,185258.0,2019,6,护肤品,面膜
9687,D31689,2019-05-29,S19027,南区,广东,汕头市,X088,886,125.0,110750.0,2019,5,彩妆,粉底
9688,D31159,2019-02-11,S19170,西区,新疆,克拉玛依市,X004,385,211.0,81235.0,2019,2,护肤品,面膜
9689,D24809,2019-09-03,S20063,东区,江苏,淮安市,X041,1408,212.0,298496.0,2019,9,护肤品,洁面乳
9690,D26617,2019-05-11,S22679,北区,天津,天津市,X046,334,241.0,80494.0,2019,5,护肤品,洁面乳
9691,D25197,2019-06-13,S12713,东区,安徽,合肥市,X041,1109,212.0,235108.0,2019,6,护肤品,洁面乳
9692,D21254,2019-06-21,S19350,南区,福建,泉州市,X002,235,141.0,33135.0,2019,6,护肤品,面膜
9693,D23212,2019-08-25,S21255,西区,四川,内江市,X003,429,168.0,72072.0,2019,8,护肤品,面膜
9694,D23787,2019-01-19,S20176,南区,江西,萍乡市,X045,266,205.0,54530.0,2019,1,护肤品,洁面乳
9695,D23941,2019-06-12,S10476,南区,福建,泉州市,X105,2073,95.0,196935.0,2019,6,彩妆,睫毛膏
9696,D22901,2019-08-23,S16478,东区,上海,上海市,X015,1766,151.0,266666.0,2019,8,护肤品,面膜
9697,D21930,2019-03-09,S18899,西区,贵州,遵义市,X083,2172,208.0,451776.0,2019,3,彩妆,口红
9698,D33358,2019-09-26,S10554,东区,江苏,扬州市,X049,659,226.0,148934.0,2019,9,护肤品,爽肤水
9699,D29444,2019-04-27,S20644,东区,江苏,苏州市,X039,1348,108.0,145584.0,2019,4,护肤品,面霜
9700,D21607,2019-03-20,S15410,东区,湖北,鄂州市,X069,1594,251.0,400094.0,2019,3,护肤品,防晒霜
9701,D28052,2019-08-13,S11366,南区,江西,赣州市,X001,554,121.0,67034.0,2019,8,护肤品,面膜
9702,D27753,2019-06-23,S22854,东区,江苏,苏州市,X044,1055,174.0,183570.0,2019,6,护肤品,洁面乳
9703,D28666,2019-08-26,S10550,东区,江苏,常州市,X046,389,241.0,93749.0,2019,8,护肤品,洁面乳
9704,D21284,2019-04-02,S13008,东区,浙江,丽水市,X062,838,239.0,200282.0,2019,4,护肤品,隔离霜
9705,D21714,2019-09-17,S22773,东区,江苏,苏州市,X040,569,142.0,80798.0,2019,9,护肤品,面霜
9706,D24468,2019-08-03,S15732,南区,广西,贺州市,X062,1090,239.0,260510.0,2019,8,护肤品,隔离霜
9707,D28545,2019-05-19,S20675,南区,湖南,永州市,X085,872,233.0,203176.0,2019,5,彩妆,口红
9708,D33817,2019-07-14,S15104,东区,上海,上海市,X001,831,121.0,100551.0,2019,7,护肤品,面膜
9709,D32681,2019-06-02,S21324,东区,江苏,泰州市,X038,718,102.0,73236.0,2019,6,护肤品,面霜
9710,D25654,2019-04-27,S10468,东区,浙江,嘉兴市,X019,876,210.0,183960.0,2019,4,护肤品,眼霜
9711,D32392,2019-05-09,S22702,西区,重庆,重庆市,X037,574,195.0,111930.0,2019,5,护肤品,面霜
9712,D30794,2019-02-25,S21374,南区,广西,柳州市,X040,2513,142.0,356846.0,2019,2,护肤品,面霜
9713,D25768,2019-09-27,S15155,西区,贵州,黔南州,X056,409,233.0,95297.0,2019,9,护肤品,爽肤水
9714,D22401,2019-07-12,S17198,东区,湖北,孝感市,X062,144,239.0,34416.0,2019,7,护肤品,隔离霜
9715,D22487,2019-09-16,S10867,东区,江苏,苏州市,X019,958,210.0,201180.0,2019,9,护肤品,眼霜
9716,D32052,2019-04-12,S12086,东区,江苏,南京市,X046,305,241.0,73505.0,2019,4,护肤品,洁面乳
9717,D23863,2019-01-16,S10865,北区,内蒙古,呼和浩特市,X036,362,99.0,35838.0,2019,1,护肤品,面霜
9718,D25844,2019-02-27,S14821,东区,江苏,扬州市,X045,538,205.0,110290.0,2019,2,护肤品,洁面乳
9719,D30067,2019-07-01,S21358,东区,浙江,杭州市,X046,870,241.0,209670.0,2019,7,护肤品,洁面乳
9720,D26225,2019-05-25,S15966,南区,福建,厦门市,X009,1097,92.0,100924.0,2019,5,护肤品,面膜
9721,D29438,2019-08-27,S21043,北区,天津,天津市,X031,708,86.0,60888.0,2019,8,护肤品,面霜
9722,D33464,2019-02-18,S11205,南区,湖南,长沙市,X064,206,150.0,30900.0,2019,2,护肤品,隔离霜
9723,D24927,2019-09-21,S13234,东区,安徽,铜陵市,X097,376,56.0,21056.0,2019,9,彩妆,眼影
9724,D32471,2019-09-12,S18911,东区,浙江,台州市,X003,1130,168.0,189840.0,2019,9,护肤品,面膜
9725,D23098,2019-09-01,S14231,北区,辽宁,大连市,X005,1234,185.0,228290.0,2019,9,护肤品,面膜
9726,D26806,2019-02-23,S16365,南区,广东,湛江市,X022,1542,158.0,243636.0,2019,2,护肤品,眼霜
9727,D33492,2019-09-19,S21685,南区,广西,柳州市,X071,1576,253.0,398728.0,2019,9,护肤品,防晒霜
9728,D22734,2019-02-23,S12453,南区,广东,广州市,X005,612,185.0,113220.0,2019,2,护肤品,面膜
9729,D28186,2019-03-17,S20442,南区,广东,江门市,X007,257,213.0,54741.0,2019,3,护肤品,面膜
9730,D29490,2019-06-26,S14453,东区,江苏,无锡市,X044,997,174.0,173478.0,2019,6,护肤品,洁面乳
9731,D28290,2019-05-31,S10989,南区,福建,泉州市,X029,92,154.0,14168.0,2019,5,护肤品,面霜
9732,D21077,2019-09-24,S13380,南区,湖南,株洲市,X046,342,241.0,82422.0,2019,9,护肤品,洁面乳
9733,D29508,2019-06-14,S11074,东区,江苏,南京市,X005,330,185.0,61050.0,2019,6,护肤品,面膜
9734,D33540,2019-05-18,S12236,北区,山东,枣庄市,X013,1180,164.0,193520.0,2019,5,护肤品,面膜
9735,D30029,2019-05-26,S20185,北区,黑龙江,佳木斯市,X062,1411,239.0,337229.0,2019,5,护肤品,隔离霜
9736,D26764,2019-08-12,S16478,东区,上海,上海市,X062,719,239.0,171841.0,2019,8,护肤品,隔离霜
9737,D22410,2019-08-09,S13008,东区,浙江,丽水市,X078,452,116.0,52432.0,2019,8,彩妆,口红
9738,D26205,2019-08-24,S15275,北区,河北,张家口市,X016,1087,99.0,107613.0,2019,8,护肤品,面膜
9739,D23820,2019-09-07,S12871,东区,安徽,安庆市,X065,41,140.0,5740.0,2019,9,护肤品,隔离霜
9740,D25112,2019-08-15,S22326,南区,广东,惠州市,X072,546,62.0,33852.0,2019,8,护肤品,防晒霜
9741,D29311,2019-08-04,S21315,东区,上海,上海市,X014,688,86.0,59168.0,2019,8,护肤品,面膜
9742,D21105,2019-07-13,S11685,西区,云南,临沧市,X059,402,56.0,22512.0,2019,7,护肤品,隔离霜
9743,D24498,2019-05-30,S12021,北区,吉林,四平市,X056,1587,233.0,369771.0,2019,5,护肤品,爽肤水
9744,D21149,2019-06-10,S18863,东区,浙江,嘉兴市,X047,1347,192.0,258624.0,2019,6,护肤品,爽肤水
9745,D22571,2019-08-27,S13568,东区,江苏,扬州市,X075,140,126.0,17640.0,2019,8,护肤品,防晒霜
9746,D29049,2019-07-18,S12220,东区,湖北,荆门市,X038,179,102.0,18258.0,2019,7,护肤品,面霜
9747,D27149,2019-09-13,S15789,北区,山东,青岛市,X051,708,203.0,143724.0,2019,9,护肤品,爽肤水
9748,D26880,2019-05-09,S21059,东区,江苏,泰州市,X046,1331,241.0,320771.0,2019,5,护肤品,洁面乳
9749,D24530,2019-04-23,S16489,北区,河南,三门峡市,X050,909,143.0,129987.0,2019,4,护肤品,爽肤水
9750,D23313,2019-09-18,S17729,东区,上海,上海市,X047,778,192.0,149376.0,2019,9,护肤品,爽肤水
9751,D22109,2019-08-29,S14823,东区,江苏,泰州市,X075,722,126.0,90972.0,2019,8,护肤品,防晒霜
9752,D33268,2019-06-17,S15632,南区,湖南,长沙市,X017,1382,213.0,294366.0,2019,6,护肤品,眼霜
9753,D22324,2019-05-22,S13202,东区,上海,上海市,X053,1481,104.0,154024.0,2019,5,护肤品,爽肤水
9754,D30396,2019-09-22,S16915,北区,河北,廊坊市,X122,702,84.0,58968.0,2019,9,彩妆,蜜粉
9755,D26680,2019-01-06,S22577,西区,四川,南充市,X019,748,210.0,157080.0,2019,1,护肤品,眼霜
9756,D33783,2019-07-09,S21980,北区,河南,郑州市,X043,1160,186.0,215760.0,2019,7,护肤品,洁面乳
9757,D28030,2019-07-10,S17401,北区,山东,烟台市,X036,1404,99.0,138996.0,2019,7,护肤品,面霜
9758,D25181,2019-09-05,S14250,东区,江苏,无锡市,X075,214,126.0,26964.0,2019,9,护肤品,防晒霜
9759,D21392,2019-04-16,S15604,东区,浙江,衢州市,X059,1265,56.0,70840.0,2019,4,护肤品,隔离霜
9760,D28796,2019-09-11,S18086,东区,上海,上海市,X045,481,205.0,98605.0,2019,9,护肤品,洁面乳
9761,D28771,2019-03-06,S16071,南区,湖南,郴州市,X100,163,80.0,13040.0,2019,3,彩妆,眼影
9762,D26154,2019-06-18,S15283,东区,浙江,绍兴市,X039,1239,108.0,133812.0,2019,6,护肤品,面霜
9763,D21731,2019-08-22,S14335,东区,浙江,宁波市,X023,557,235.0,130895.0,2019,8,护肤品,眼霜
9764,D25514,2019-02-01,S15200,北区,山东,威海市,X097,848,56.0,47488.0,2019,2,彩妆,眼影
9765,D28104,2019-04-09,S18621,北区,山东,滨州市,X086,1218,92.0,112056.0,2019,4,彩妆,口红
9766,D32283,2019-05-01,S21387,西区,四川,凉山彝族自治州,X074,1795,87.0,156165.0,2019,5,护肤品,防晒霜
9767,D26466,2019-04-26,S22374,南区,江西,赣州市,X057,576,245.0,141120.0,2019,4,护肤品,爽肤水
9768,D24053,2019-08-05,S12592,东区,浙江,杭州市,X007,727,213.0,154851.0,2019,8,护肤品,面膜
9769,D30522,2019-03-22,S19969,北区,北京,北京市,X064,200,150.0,30000.0,2019,3,护肤品,隔离霜
9770,D25773,2019-02-07,S10990,北区,山西,太原市,X092,829,67.0,55543.0,2019,2,彩妆,粉底
9771,D27069,2019-02-15,S12578,南区,广西,桂林市,X025,1112,102.0,113424.0,2019,2,护肤品,眼霜
9772,D24922,2019-09-03,S15410,东区,湖北,鄂州市,X039,325,108.0,35100.0,2019,9,护肤品,面霜
9773,D25493,2019-06-26,S12763,东区,湖北,襄阳市,X023,909,235.0,213615.0,2019,6,护肤品,眼霜
9774,D24218,2019-01-31,S17565,西区,陕西,渭南市,X050,98,143.0,14014.0,2019,1,护肤品,爽肤水
9775,D33493,2019-01-03,S14250,东区,江苏,无锡市,X067,154,212.0,32648.0,2019,1,护肤品,隔离霜
9776,D28313,2019-08-22,S18634,西区,四川,泸州市,X062,604,239.0,144356.0,2019,8,护肤品,隔离霜
9777,D24744,2019-01-13,S16365,南区,广东,湛江市,X001,367,121.0,44407.0,2019,1,护肤品,面膜
9778,D24532,2019-05-20,S22963,东区,湖北,孝感市,X042,759,159.0,120681.0,2019,5,护肤品,洁面乳
9779,D21657,2019-04-17,S13234,东区,安徽,铜陵市,X004,249,211.0,52539.0,2019,4,护肤品,面膜
9780,D31885,2019-04-28,S18020,东区,江苏,南京市,X069,1328,251.0,333328.0,2019,4,护肤品,防晒霜
9781,D22734,2019-02-23,S12453,南区,广东,广州市,X103,1067,202.0,215534.0,2019,2,彩妆,睫毛膏
9782,D24790,2019-09-10,S11296,南区,福建,泉州市,X078,846,116.0,98136.0,2019,9,彩妆,口红
9783,D25564,2019-06-27,S19763,西区,云南,昆明市,X067,438,212.0,92856.0,2019,6,护肤品,隔离霜
9784,D26941,2019-06-15,S12814,南区,广东,梅州市,X056,1808,233.0,421264.0,2019,6,护肤品,爽肤水
9785,D32892,2019-04-26,S21157,西区,陕西,汉中市,X085,1330,233.0,309890.0,2019,4,彩妆,口红
9786,D26448,2019-05-12,S14563,西区,四川,乐山市,X048,1095,61.0,66795.0,2019,5,护肤品,爽肤水
9787,D29444,2019-04-27,S20644,东区,江苏,苏州市,X009,936,92.0,86112.0,2019,4,护肤品,面膜
9788,D31980,2019-06-06,S17471,北区,吉林,长春市,X025,274,102.0,27948.0,2019,6,护肤品,眼霜
9789,D23837,2019-05-17,S11956,南区,广东,东莞市,X056,300,233.0,69900.0,2019,5,护肤品,爽肤水
9790,D21276,2019-08-28,S14231,北区,辽宁,大连市,X018,11,212.0,2332.0,2019,8,护肤品,眼霜
9791,D28321,2019-08-22,S20229,南区,广东,深圳市,X091,817,214.0,174838.0,2019,8,彩妆,粉底
9792,D25353,2019-07-08,S14389,东区,安徽,合肥市,X104,184,185.0,34040.0,2019,7,彩妆,睫毛膏
9793,D24401,2019-04-12,S20124,北区,吉林,长春市,X009,2271,92.0,208932.0,2019,4,护肤品,面膜
9794,D33372,2019-06-10,S13287,西区,重庆,重庆市,X039,1167,108.0,126036.0,2019,6,护肤品,面霜
9795,D30091,2019-09-07,S13870,南区,湖南,衡阳市,X055,1138,222.0,252636.0,2019,9,护肤品,爽肤水
9796,D33218,2019-09-02,S11871,西区,云南,昆明市,X025,1205,102.0,122910.0,2019,9,护肤品,眼霜
9797,D24789,2019-09-05,S13654,东区,浙江,宁波市,X073,61,209.0,12749.0,2019,9,护肤品,防晒霜
9798,D32239,2019-04-30,S22123,西区,四川,广元市,X034,1405,182.0,255710.0,2019,4,护肤品,面霜
9799,D21531,2019-07-16,S22297,西区,四川,广安市,X030,581,237.0,137697.0,2019,7,护肤品,面霜
9800,D29097,2019-05-09,S13825,南区,广东,广州市,X067,386,212.0,81832.0,2019,5,护肤品,隔离霜
9801,D26278,2019-06-02,S12106,南区,湖南,怀化市,X044,1054,174.0,183396.0,2019,6,护肤品,洁面乳
9802,D24453,2019-03-26,S11188,南区,江西,新余市,X055,333,222.0,73926.0,2019,3,护肤品,爽肤水
9803,D27960,2019-08-18,S20091,南区,福建,泉州市,X075,736,126.0,92736.0,2019,8,护肤品,防晒霜
9804,D22007,2019-01-08,S23047,北区,辽宁,葫芦岛市,X046,2170,241.0,522970.0,2019,1,护肤品,洁面乳
9805,D23340,2019-08-09,S12763,东区,湖北,襄阳市,X041,931,212.0,197372.0,2019,8,护肤品,洁面乳
9806,D34334,2019-02-22,S17955,东区,江苏,扬州市,X042,60,159.0,9540.0,2019,2,护肤品,洁面乳
9807,D22425,2019-07-20,S15310,南区,福建,泉州市,X011,1674,226.0,378324.0,2019,7,护肤品,面膜
9808,D28080,2019-09-04,S19763,西区,云南,昆明市,X059,1744,56.0,97664.0,2019,9,护肤品,隔离霜
9809,D23132,2019-02-25,S17729,东区,上海,上海市,X008,38,119.0,4522.0,2019,2,护肤品,面膜
9810,D31917,2019-08-31,S11296,南区,福建,泉州市,X003,196,168.0,32928.0,2019,8,护肤品,面膜
9811,D28707,2019-01-19,S10469,东区,安徽,淮南市,X008,131,119.0,15589.0,2019,1,护肤品,面膜
9812,D31561,2019-04-25,S10469,东区,安徽,淮南市,X019,315,210.0,66150.0,2019,4,护肤品,眼霜
9813,D22210,2019-08-09,S18086,东区,上海,上海市,X089,272,104.0,28288.0,2019,8,彩妆,粉底
9814,D31374,2019-08-22,S21980,北区,河南,郑州市,X029,899,154.0,138446.0,2019,8,护肤品,面霜
9815,D30238,2019-05-05,S15803,西区,贵州,黔东南州,X068,1131,225.0,254475.0,2019,5,护肤品,防晒霜
9816,D21520,2019-07-19,S22793,南区,广东,深圳市,X013,1198,164.0,196472.0,2019,7,护肤品,面膜
9817,D33212,2019-09-19,S15969,西区,陕西,西安市,X007,1510,213.0,321630.0,2019,9,护肤品,面膜
9818,D27075,2019-04-08,S19426,南区,福建,福州市,X035,834,76.0,63384.0,2019,4,护肤品,面霜
9819,D23134,2019-07-17,S17406,东区,江苏,苏州市,X040,723,142.0,102666.0,2019,7,护肤品,面霜
9820,D22683,2019-09-27,S22963,东区,湖北,孝感市,X051,930,203.0,188790.0,2019,9,护肤品,爽肤水
9821,D25458,2019-04-29,S15466,北区,山西,临汾市,X014,420,86.0,36120.0,2019,4,护肤品,面膜
9822,D24551,2019-07-06,S13106,北区,山东,青岛市,X085,1752,233.0,408216.0,2019,7,彩妆,口红
9823,D21945,2019-08-03,S16170,南区,福建,泉州市,X021,539,59.0,31801.0,2019,8,护肤品,眼霜
9824,D21591,2019-04-13,S15439,南区,福建,三明市,X044,1444,174.0,251256.0,2019,4,护肤品,洁面乳
9825,D27925,2019-02-03,S18131,东区,浙江,绍兴市,X034,401,182.0,72982.0,2019,2,护肤品,面霜
9826,D30797,2019-07-31,S17864,东区,浙江,温州市,X085,1568,233.0,365344.0,2019,7,彩妆,口红
9827,D32919,2019-05-13,S20112,南区,广西,北海市,X015,475,151.0,71725.0,2019,5,护肤品,面膜
9828,D22886,2019-08-25,S19738,东区,江苏,徐州市,X026,615,101.0,62115.0,2019,8,护肤品,面霜
9829,D26430,2019-02-13,S11101,北区,山西,忻州市,X087,32,86.0,2752.0,2019,2,彩妆,口红
9830,D30917,2019-09-09,S22660,西区,重庆,重庆市,X025,642,102.0,65484.0,2019,9,护肤品,眼霜
9831,D25552,2019-04-25,S19039,南区,江西,鹰潭市,X019,1202,210.0,252420.0,2019,4,护肤品,眼霜
9832,D34113,2019-01-27,S12770,南区,福建,福州市,X037,507,195.0,98865.0,2019,1,护肤品,面霜
9833,D25264,2019-04-14,S21514,南区,广东,深圳市,X051,150,203.0,30450.0,2019,4,护肤品,爽肤水
9834,D33220,2019-07-13,S21656,南区,广东,中山市,X030,1561,237.0,369957.0,2019,7,护肤品,面霜
9835,D25898,2019-04-04,S13492,北区,北京,北京市,X021,509,59.0,30031.0,2019,4,护肤品,眼霜
9836,D27478,2019-09-08,S14250,东区,江苏,无锡市,X033,1026,177.0,181602.0,2019,9,护肤品,面霜
